RUN	com.freebird.stresstest.AdminSearch		adminsearch	1500366042927	 	2.0
USER	SEARCH QUERY WITH DIFFERENT PARAMETERS	1	START	1500366044320	1500366044320
USER	GET TRIP INFO	2	START	1500366044385	1500366044385
USER	GET TRIP INFO	3	START	1500366044386	1500366044386
USER	GET TRIP INFO	4	START	1500366044386	1500366044386
USER	GET TRIP INFO	5	START	1500366044386	1500366044386
USER	GET TRIP INFO	6	START	1500366044386	1500366044386
USER	GET TRIP INFO	7	START	1500366044386	1500366044386
USER	GET TRIP INFO	8	START	1500366044386	1500366044386
USER	GET TRIP INFO	9	START	1500366044386	1500366044386
USER	GET TRIP INFO	10	START	1500366044386	1500366044386
USER	GET TRIP INFO	11	START	1500366044387	1500366044387
